,pov6
13053,1
1385,1
7367,1
4047,1
14255,1
3017,1
18134,1
11879,1
4051,1
6834,1
3538,2
17942,1
15694,2
14083,1
679,1
14692,1
2638,4
2789,3
17742,1
7213,1
236,1
6590,1
5959,1
2906,1
16925,1
13694,1
9250,4
11197,1
10138,1
160,1
4288,1
16162,1
14204,1
9153,1
7240,1
11505,6
11604,1
1693,1
5090,1
16827,2
11664,1
3176,1
9708,2
10637,2
12768,2
6839,1
878,1
6636,1
8493,1
18083,1
5301,2
16345,1
6905,1
5725,1
13800,1
6192,1
5585,1
18032,1
13443,1
6137,1
9735,1
4740,1
2844,2
13020,1
10651,1
17,1
9009,6
1928,1
2439,1
8945,3
1559,2
14122,2
6539,1
12057,1
3694,2
17172,1
6304,1
11248,2
10357,1
2360,1
14661,1
15416,1
683,1
11629,2
7495,1
14478,1
4745,1
3137,1
790,2
9512,1
6850,1
18356,2
9618,1
6894,1
6738,1
15581,2
2158,1
3380,1
14300,2
6127,1
5035,1
6764,1
7374,1
1047,2
11111,1
6243,1
10684,1
17044,1
2234,2
915,1
5141,1
16489,1
7125,2
17709,1
5616,1
2864,1
1798,2
8356,1
6378,1
12414,1
7555,1
17187,1
15196,1
10754,1
16078,1
13708,1
599,2
8331,1
15081,1
11815,1
2480,1
17066,2
6397,1
1113,2
5651,2
9096,1
16643,1
17917,2
4150,1
11659,2
7953,1
1829,4
12519,1
15894,1
188,1
10753,1
2813,3
5316,2
7385,1
9667,2
7621,1
16254,1
273,1
7015,2
11343,1
15986,1
2347,1
15146,1
14173,1
5096,1
16276,2
18257,1
17284,1
2476,1
572,6
4153,2
12530,1
13532,1
8106,1
4163,1
6327,1
1064,1
12215,1
2004,1
3960,1
15424,6
11980,1
4876,1
6383,1
3252,2
11420,2
10907,1
2944,1
1167,1
1020,1
12138,2
16150,1
16669,1
1619,2
12082,1
12581,1
2045,1
4660,1
410,1
11347,1
120,1
7639,1
7407,1
910,2
4540,1
2783,1
9540,1
6934,2
13497,1
12644,1
4770,1
16913,6
10332,1
1125,2
1791,1
13544,1
16616,1
5429,1
16370,1
6419,1
7749,2
13588,1
17948,1
7728,1
6200,1
16138,1
6726,1
10763,1
5539,1
15409,1
17161,2
9526,2
8110,1
5294,1
14035,1
9579,1
7003,2
129,1
5472,2
14061,1
3884,1
8820,1
14777,1
14042,1
3125,5
1828,1
10608,1
9229,1
15471,1
12198,1
10593,1
10737,1
15603,1
1322,2
11192,1
15874,1
6344,1
14557,2
8233,3
16047,1
7333,1
17213,1
12618,1
3425,1
12280,1
14137,2
1839,1
6661,1
140,1
10342,1
276,1
4531,1
17609,1
8384,1
1176,1
10046,2
14827,1
3827,1
7520,1
1915,1
3183,1
11449,1
6847,1
6131,1
15803,1
14503,1
6588,1
18090,1
16420,2
16323,1
10094,2
15273,1
15156,1
9050,2
14426,1
10486,1
9989,2
16847,1
16754,1
8934,4
11390,1
8716,1
2963,1
12737,2
16706,1
453,1
12582,1
4570,2
340,1
5045,2
235,1
