,features,corr,k_best,lasso,rf-importance,dt-importance,corr_rank,k_best_rank,lasso_rank,rf-importance_rank,dt-importance_rank,voting
78,c.275,0.025220137780177038,1.7528092913433675,0.0,,2.9966124279850412e-05,0,0,0,0,0,0
79,c.52,0.03953931725894463,16.083669932283065,0.0,0.006513952538131445,0.0015763955947774918,0,0,0,0,0,0
80,c.266,0.12328915187136487,129.74592115753063,0.0,,0.0012601043885006223,0,0,0,0,0,0
81,b.24,0.059944466233084755,14.596418139282573,0.0,,0.00048658257994801235,0,0,0,0,0,0
82,c.260,0.008772587689677572,1.545705028809712,0.0,,6.634603622380348e-05,0,0,0,0,0,0
83,c.261,0.018513022409500486,10.820109367915121,0.0,,,0,0,0,0,0,0
84,c.262,,,0.0,,,0,0,0,0,0,0
85,c.263,,,0.0,,,0,0,0,0,0,0
86,c.265,0.003868288839152014,0.19730898038473577,0.0,,,0,0,0,0,0,0
87,c.267,0.01657838632847207,6.507961512205085,0.0,,0.0,0,0,0,0,0,0
88,var2,0.034754061405489686,4.763303392764887,0.0,0.008448383319696655,0.0027851929332587317,0,0,0,0,0,0
89,c.268,0.12546316063959262,70.21487959780748,0.0,,0.0005319618599210066,0,0,0,0,0,0
90,c.269,0.10263677967855019,48.32224767876103,0.0,,0.0008643419072814861,0,0,0,0,0,0
91,c.270,0.11003453818308909,102.84557059902488,0.0,,0.0010622839326879904,0,0,0,0,0,0
92,c.271,0.07406355213018999,30.162747766847016,0.0,,0.0026043522255055703,0,0,0,0,0,0
93,c.272,0.05265890961062382,16.421273484611543,0.0,,,0,0,0,0,0,0
94,c.273,0.13521776770624316,84.49433416114312,0.0,,,0,0,0,0,0,0
95,t7.151,0.009501820936602269,2.0602585645813636,0.0,,,0,0,0,0,0,0
96,c.56,0.0015846015349258028,2.081766344207582,0.0,,,0,0,0,0,0,0
97,c.54,0.012131506505401481,14.417514349062996,0.0,,7.392311523361966e-05,0,0,0,0,0,0
98,pp.133,0.004181402432722086,0.6738945738030186,0.0,,0.0,0,0,0,0,0,0
99,c.82,0.0768783033160245,18.81643127126166,0.0,,0.0011141047533318705,0,0,0,0,0,0
100,c.136,0.005286931297368672,0.9816932516026645,0.0,,6.0960880577631916e-05,0,0,0,0,0,0
101,pp.134,0.018899433657280956,2.600618426021066,0.0,,0.001100370314827327,0,0,0,0,0,0
102,c.85,0.02353295958604968,7.151965218673867,0.0,,0.0003906867430239524,0,0,0,0,0,0
103,c.86,0.025922968268354624,4.368487869836221,0.0,,0.0002632999824870565,0,0,0,0,0,0
104,c.87,0.01793817985449642,0.9444340665546285,0.0,,0.0,0,0,0,0,0,0
105,c.88,0.009102626187001929,2.550289675252281,0.0,,0.0013723464917704225,0,0,0,0,0,0
106,c.137,0.009501820936602269,2.0602585645813636,0.0,,0.0005847707691119859,0,0,0,0,0,0
107,c.89,0.015227418882699498,8.044173084098972,0.0,,0.00024417921438997026,0,0,0,0,0,0
108,c.90,0.005115962422289282,0.40667321886649493,0.0,,0.0006276234838180091,0,0,0,0,0,0
109,c.91,0.003033483582011005,1.7097142212224998,0.0,,0.0,0,0,0,0,0,0
110,pp.132,0.09884948636654685,44.93965471191406,0.0,,0.0,0,0,0,0,0,0
111,c.127,0.009214344529335287,0.42893496300078465,0.0,,0.0,0,0,0,0,0,0
112,pp.128,0.10052051953415013,46.26946716672953,0.0,,0.0009187578352431411,0,0,0,0,0,0
113,c.81,0.01645142692441298,75.46378132996519,0.0,,0.00046801016091411,0,0,0,0,0,0
114,c.80,0.0015290458122749916,7.650449306855886,0.0,,0.0,0,0,0,0,0,0
115,pp.131,0.06707688150921337,17.539252158875875,0.0,,0.00045476012602472995,0,0,0,0,0,0
116,c.142,0.040804462836202565,17.530375938255112,0.0,,0.0,0,0,0,0,0,0
117,t7.150,0.005286931297368672,0.9816932516026645,0.0,,,0,0,0,0,0,0
118,c.146,0.04659207180425493,21.375470755588207,0.0,,0.0009410377068295251,0,0,0,0,0,0
119,b.16,0.027405871568050102,50.496861887460646,0.0,0.008174182077243124,0.0014804236941014766,0,0,0,0,0,0
120,c.62,0.011343447262344793,2.2556602512001422,0.0,,,0,0,0,0,0,0
121,c.144,0.008371485136550245,0.48485018353216924,0.0,,,0,0,0,0,0,0
122,c.143,0.01751737852123647,1.9779544808382934,0.0,,,0,0,0,0,0,0
